,Movie Title,Plot Summary,Cover Image,Year,Source
0,The Forest (2016 American film),"The majority of the story is set in and around Aokigahara, a forest at the northwest base of Mount Fuji in Japan known as a popular destination for those wanting to die by suicide. Sara Price receives a phone call from the Japanese police telling her that they think her troubled twin sister Jess is dead, as she was seen going into Aokigahara. Despite the concerns of her fiancé Rob, Sara journeys to Japan and arrives at the hotel where Jess was staying.
At the hotel, Sara meets a reporter named Aiden. They drink together, and Sara tells him of her parents' death. In reality, her father committed a murder-suicide, but she tells him they were killed by a drunk driver. Her sister saw the bodies, but Sara did not. Aiden invites her to go into the forest with him and a park guide, Michi, so she can look for Jess. As the three enter Aokigahara, Michi tells Sara that Jess has most likely killed herself. Sara refuses to believe this, explaining how, being a twin, she can ""feel"" that Jess is still alive. Deep in the woods, the group discovers a yellow tent that Sara recognizes as belonging to Jess. With nightfall approaching, Michi suggests they leave a note for Jess and leave. Sara refuses, and Aiden volunteers to stay with her through the night. That night, Sara hears rustling in the bushes, and believing it may be Jess, rushes into the woods after her. Sara finds a Japanese girl, Hoshiko, who claims to know Jess. The girl warns Sara not to trust Aiden and flees at the sound of his voice. Sara attempts to chase after her, but falls and loses her.
The next day, Aiden and Sara become lost and begin to walk around the forest. As they walk, Sara's suspicions are raised, and she demands Aiden to give her his phone and finds a picture of Jess on it. Aiden denies any involvement with Jess, but Sara runs into the forest alone. While running, she begins to hear voices telling her to turn around. She appears to be unfazed by this until she hears the voice directly behind her. She turns around to see a hanging body and continues to run away. She then falls through a hole into a cave, and later she wakes up and discovers that she is in the cave with Hoshiko, who turns out to be a yūrei. Hoshiko then turns into what appears to be a ""demonic figure"". Sara then runs back towards the cave's opening, where she finds a flip camera and sees the scene where her parents die and her father jumps up in the slide of photos. Aiden finds her and helps her out of the cave. After some convincing, they continue to walk together. Rob arrives at the Aokigahara forest with a search party and Michi, determined to find Sara.
Aiden takes Sara to an old ranger station he claims he discovered while looking for her. Sara hears her sister's voice coming from a locked basement and finds a note that implies that Aiden is holding Jess captive there. Convinced that he is a threat, Sara attacks and kills Aiden with a small kitchen knife. As he dies, Sara realizes that Aiden was telling the truth and that the picture on his phone, the voice at the basement door, and the note had all been hallucinations.
In the basement of the ranger station, Sara sees a vision of the night her parents died. The ghost of her father suddenly appears and lunges toward her, grabbing her wrist. She cuts his fingers away from her wrist and escapes the station. Running into the forest, she sees Jess running toward the lights of the search party. Sara calls her sister, who is unable to hear her. She realizes that her escape from the ranger station was another hallucination. When she cut at her father's fingers, she actually cut deep into her own wrists and is now dying from blood loss in the basement. As she succumbs to her wounds, the hands of a group of yūrei pull Sara beneath the forest floor. Jess, very much alive, is rescued by the search party and explains that the ""feeling"" of her sister is gone, and it is assumed that Jess knows Sara is dead. As the search party leaves, Michi suddenly sees a dark figure at the edge of the forest and realizes that it is Sara, who has turned into a yūrei.
",upload.wikimedia.org/wikipedia/en/thumb/1/1d/The_Forest_Poster.jpg/220px-The_Forest_Poster.jpg,2016,https://en.wikipedia.org//wiki/The_Forest_(2016_American_film)
1,Anesthesia (2015 film),"Philosophy professor Walter Zarrow is wounded during a mugging. In an effort to escape he rings buzzers indiscriminately, waking Sam, a middle-aged father of two having an affair in the city. Sam reluctantly answers Zarrow's pleas, and Zarrow loses consciousness in his arms. Through an exploration of why these men, along with the mugger, and an addict named Joe, come together, we explore New York City. The experience of Zarrow, Sam, Joe and Zarrow's assailant ripple quickly out to include the connected lives of a housewife struggling with alcoholism, a stoner teen desperate to lose his virginity, a brilliant but failed writer fighting addiction, two parents confronting the prospect of terminal illness, and a brilliant grad student who harms herself to feel alive.
",upload.wikimedia.org/wikipedia/en/thumb/4/4c/Anesthesia_Poster.jpg/220px-Anesthesia_Poster.jpg,2016,https://en.wikipedia.org//wiki/Anesthesia_(2015_film)
2,Lamb (2015 American film),"The film opens with David Lamb visiting his sick and dying father Walter Lamb. After visiting his father, David goes to his motel room, where he is currently living.  David's father dies. After attending his father's burial, David ends up in a parking lot ""in a particularly depressed-looking corner of Chicago,"" smoking, where Tommie is sent by her friends to ask David for a cigarette.  When asked, David gives her a cigarette, and Tommie shows him her friends. David decides to scare her friends by pretending to kidnap her. He tries to prove a point to her and brings her home.
Back at David's work, his boss, Wilson, gives David his condolences, and insists that David take some time off work. Linny and David make passionate love in the office stairwell, after which David tells Linnie he is going away to his property in the country for a while to clear his head. David runs into Tommie at the parking lot, gives his name as ""Gary"" and offers to buy her lunch. Back at Tommie's home, her mother Linda, and her mother's boyfriend Jesse, ask where she has been, and Tommie lies, claiming that she was at a friend's house. The next day, Tommie and David hang out again; David asks Tommie to go on a camping trip for a week. He tells her he would bring her back before any one would start to worry. At a hotel, David tells Tommie he wants her to think if she really wants to stay, or go back home. He tells her this might look like a kidnapping due to their age differences so she can leave at any time. Tommie decides to stay.
At a truck stop, Melissa sees Tommie crying. Tommie lies and says her name is ""Emily."" Tommie tells David she wants to go home; he tells her he could take her home, like he said he would earlier. The next day, David and Tommie hang out by a lake.  While there at the lake, Foster, a neighbor of theirs at the cabin, tells the two of them that they are on private property. David lies easily, telling him he's with his niece Emily (aka Tommie). Returning from the mountains, Tommie asks David if she could have a root beer; David asks Tommie to get him a beer; she asks if she can have some of the beer, and he agrees she can have one sip of it. Foster walks into the room, where he sees Tommie holding the beer. David pretends to yell at ""Emily"", sends her out of the room and apologizes to Foster about what happened. Foster warns David there are unfriendly neighbors nearby who don't like kids. One morning, David notices a car approaching the cabin; he hides Tommie in a closet and tells her not to be seen. The car turns out to be driven by Linny, who came to give David company.
David tells Tommie to run to the 'shop' (a back part of the cabin) quietly as she can. Later that night, Tommie asks David why Linny called him ""David"" instead of ""Gary"". He tells her, it's to ""protect her/us"". While David is talking to Tommie one morning, Linny walks in, and almost catches Tommie. Linny tells David she's going to get mattresses from the other room; David lies, since Tommie is hiding in that room, by telling her a fake ghost story about ""Emily"". Tommie is seen running from the cabin, to Foster's house. She returns to the outside of cabin and through the window witnesses David and Linny having sex. David notices that Tommie is watching. Outside the house, David/Gary holds Tommie/Emily and tells her a secret - that his younger brother left home and disappeared when he was very young, never coming home again. He makes her promise not to tell anyone, and to always call him ""Gary.""
Next morning Tommie walks into the cabin living room and calls Gary's name. Linny awakes with fright and wakes David (aka Gary) who claims that the girl is ""Emily"" who has been sick and has been staying here because of it. As Linny goes to drive away upset, David lies to her that ""Emily"" is the child of his brother who died and Linny says ""you never told me that."" He pleads with her to be patient with him but she drives off.
David tells Tommie they are going to head back home. In a motel on the way back he breaks down and cries, saying that Tommie will forget him as she grows older. She put hers hand on his shoulder and says ""I won't."" Once they arrive at their hometown, the two emotionally say goodbye. They will not see each other again, but he tells her he will leave signs, like a broken window, or a ribbon tied in a strange place so she'll know he's been around, and that when she closes her eyes and remembers the wind and the rain from their trip, she will be like an apple tree standing in the ashes of all the houses in her city.
The film ends with Tommie chasing after David as he drives away.
",upload.wikimedia.org/wikipedia/en/thumb/c/c0/Lamb_American_Poster.jpg/220px-Lamb_American_Poster.jpg,2016,https://en.wikipedia.org//wiki/Lamb_(2015_American_film)
3,Ride Along 2,"On crime lord Antonio Pope's boat, hacker A.J. is reviewing a list on the computer. Pope calls Port Commissioner Griffin, accusing him of stealing, which Griffin denies. Pope orders a hitman to eliminate the commissioner, then he tasks him to find who took his money.
Two years after the first movie, James is with partner Detective Mayfield, busting drug dealer Troy. He pulls a gun on James so Ben watching this over the camera, comes to help. He threatens Troy by acting tough, only to drop his badge. A shootout leads to Mayfield getting shot and Troy escaping. James and Ben chase him, and Ben nearly gets himself run over. James follows Troy through a parking garage, capturing him, and finding a necklace/flash drive on him.
Mayfield is hospitalized, and Lt. Brooks sends James to Miami to see who Troy was working for. Ben wants to go to prove he is ready for detective work, but nobody believes in him as he just caused such a mess.
At home, Ben begins to plan his and Angela's wedding, clashing with the wedding planner. Later, as Angela tries to seduce him, he complains about not being able to go to Miami. She calls James to get him to take Ben, both for him but also to get him out of her hair. Initially refusing, he changes his mind, thinking he can prove Ben is not detective material. They drive to Miami together.
Trying to use homicide detective Maya Cruz's computer without permission, she punishes Ben. Later, when they find A.J., he says a safe in a club contains something important, but first they have to meet someone there. At the club they find out the man is also Pope's hitman. A.J. creates a distraction to escape while James has a shoot-out with the hitman. Afterwards, with Maya they find the safe empty. Before they can take James' car, he realizes there is a bomb and it explodes.
Realizing he has A.J.'s phone, Ben contacts his girlfriend Tasha to locate him. He convinces her to cooperate by showing her that A.J.'s been hooking up with other women. When they find A.J., they bring him in on the investigation. He reveals that Pope is the real crook, despite his public image as an entrepreneur working with the new port commissioner, Nuñez. The team is at the home of Maya's friend/associate, Alonso, whom Ben accidentally shoots. Despite this, Alonso confirms that Pope is a crook.
James, Ben and Maya go to a party in Pope's mansion. Maya distracts him dancing while James and Ben gather info, with A.J.'s help. After narrowly escaping Marcus the alligator, Ben reconnects with the team. They get their information, but Pope catches them and knows they are cops, he lets them go. They use the information to locate a group of shipping trucks that may be carrying Pope's contraband. However, when they stop the first truck at the port, it's empty. Hernandez scolds them, as Pope shows up and acts angry for what the team did.
The team goes to a bar to go over what went wrong. Maya wonders why Nuñez showed up so fast at the port. When A.J. mentions Nuñez is on Pope's payroll, James realizes it was a decoy, and the real contraband is being brought in somewhere else at the port. James, Maya and A.J. go after Pope, but leave Ben handcuffed to a pole. He breaks free, going to Alonso's to remove the cuffs.
James, Maya and A.J. are at the port in the morning to catch Pope. Ben arrives to the shoot-out, exploding a container full of flammable barrels. Pope escapes in a truck, taking A.J. hostage. When James does not find Pope in the truck, Pope shoots at him, but Ben jumps in the way of the bullet. James shoots Pope a few times then, as Ben is wearing a bulletproof vest, he uses Ben as a human shield when he shoots again. Maya shoots Pope down.
James and Ben are commended for taking down Pope and Nuñez. They drive home in a yellow Lamborghini Maya got for them to take to Atlanta for the wedding. Ben and Angela get married and are ready to go off on a speed boat, but Ben asks James to make a speech. Reluctantly, he says that while Ben has gotten him into a lot of trouble since meeting, he has also saved his life, made Angela very happy, and helped him grow into a better man and cop. Ben and Angela then go on their boat ride, but Ben flies out of the boat when he hits a wake, amusing James.
",upload.wikimedia.org/wikipedia/en/thumb/6/6b/Ride_Along_2_poster.jpg/220px-Ride_Along_2_poster.jpg,2016,https://en.wikipedia.org//wiki/Ride_Along_2
4,13 Hours: The Secret Soldiers of Benghazi,"In 2012, following the overthrow of Muammar Gaddafi, Benghazi in Libya is named one of the most dangerous places in the world, and countries have pulled their diplomatic offices out of the country in fear of an attack by militants. The United States still has a diplomatic compound, not an official consulate, open in the city. Less than a mile away is a top secret CIA base, ""the Annex,"" which is protected by a team of private military contractors from Global Response Staff (GRS). New to the detail is former US Navy SEAL Jack Silva, who arrives in Benghazi and is picked up by fellow former US Navy SEAL Tyrone ""Rone"" Woods, the commander of the GRS team and a personal friend of Silva. Arriving at the Annex, Silva is introduced to the rest of the GRS team: former US Marines Mark ""Oz"" Geist, John ""Tig"" Tiegen and Dave ""Boon"" Benton and former US Army Ranger Kris ""Tanto"" Paronto and the CIA Chief of Station, ""Bob"", who constantly gives the team strict reminders to never engage the citizens.
Prior to the US Ambassador's arrival, the GRS team members visit the Special Mission, where the Ambassador will be staying. They review the location and warn Diplomatic Security Service (DSS) Agents Scott Wickland and Dave Ubben about the risk of minimal-security arrangements and the high probability of a surprise attack due to the weak central government. US Ambassador Chris Stevens arrives in Benghazi to maintain diplomatic connections amid the political and social chaos, with limited protection from five DSS Agents, principally Wickland and Ubben, along with guards hired from the local February 17th Martyrs Brigade militia, nicknamed ""17-Feb."" On the morning of the eleventh anniversary of the September 11 attacks, Stevens notices suspicious men taking pictures of the compound and notifies his security detail. Back at the Annex, Silva finds out that his wife is pregnant.
That night, a group of militants from Ansar al-Sharia assault the compound. The 17-Feb guards are quickly overrun, which allows the attackers easy access to the compound. Wickland takes Stevens and Smith, an IT specialist, to the safe room. Unable to breach the safe room, the attackers set the building on fire hoping to burn the men out. Wickland escapes but loses both Stevens and Smith. At the Annex, the GRS team desperately wants to go to the compound to help, but the Chief refuses for fear that the team's departure would expose the Annex. However, the team dispatches to the compound anyway and meets up with the DSS Agents, with the team splitting up: Silva, Woods, and Tiegen head to the consulate, while Paronto and Benton head to the back gate, assisted by a few 17-Feb militants. Silva and Woods enter the building searching for Stevens and Smith but find only Smith's body. After an intense firefight inside the compound against the militants, the DSS team retreats in a car, but after a beat-up Wickland goes the wrong way, they are followed by militants on their way back to the Annex. Later, the GRS team also retreats to the Annex.
Knowing that an attack by the militants is imminent, the CIA staff of the Annex makes several desperate calls for help, but only former US Navy SEAL Glen ""Bub"" Doherty, a GRS operator in Tripoli, helps. He forms a team, including two Delta Force operators, that flies to Benghazi after several delays. Meanwhile, the GRS team fends off the militants as they try to breach the Annex perimeter. After repelling the largest attack wave, the Annex receives word from ISR that help is coming.
The Tripoli GRS reinforcements arrive and begin to prepare the CIA and DSS staff for their departure to the airport. The militants launch a mortar attack in which Ubben and Geist are wounded, and Geist's left arm is partially severed. Woods rushes to aid Geist and is killed by another mortar round. Doherty is also killed when a third mortar detonates directly in front of him.
While a wounded Geist and Ubben are being tended to, Delta Force operatives dispose of Woods' body, angering Silva. With the GRS team compromised and the Annex now vulnerable, the remaining GRS operators watch as a convoy of vehicles rolls toward the Annex. Fearing the worst, the operators prepare to make a final stand until it is revealed that the convoy is an element of the Libya Shield Force militia that is escorting the GRS reinforcements. They also find out that Stevens had been found behind the compound but was pronounced dead at the hospital.
At the airport, the CIA staff and the wounded Geist board the plane to Tripoli while the remainder of the GRS team waits for the next plane with the bodies of Stevens, Smith, Woods, and Doherty. Paronto is approached by his 17-Feb allies and gives them some keys to Gaddafi's old armored vehicles. Meanwhile, Silva speaks with his wife and tells her that he is finally coming home; however, he tearfully relays the news that Woods didn't make it. Shortly after, he briefly recalls a conversation with Woods they had at the annex and zips his bodybag up. Closing titles reveal that Libya had become a failed state and is now a stronghold for ISIS, and that all of the surviving members of the Annex security GRS team received contractor medals at a private ceremony, have since retired from the GRS team, and live with their families and that Geist was able to save his arm after several surgeries after the military reenlists him so that he can receive the best medical care possible.
",upload.wikimedia.org/wikipedia/en/thumb/a/a2/13_Hours_poster.png/220px-13_Hours_poster.png,2016,https://en.wikipedia.org//wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi
5,Norm of the North,"Norm, a polar bear, is the son of the King of the Arctic. In his youth, he realizes his ability to speak to humans, a trait shared only by his grandfather. Because of this, he is made an outcast from the other animals, only being accepted by Socrates, a wise seagull, and Elizabeth, a female polar bear whom Norm is in love with.
Years later, Norm's grandfather has become the world's most famous polar bear and human tourists are filling the Arctic. Socrates shows Norm and three Arctic lemmings a luxury condo that has been installed on the ice. Inside this condo is Vera, a representative for wealthy developer Mr. Greene. After Norm saves Vera from an avalanche, she tells him to find an actor to play a polar bear for their campaign. Norm denies this, but soon falls in love with Vera much to the jealousy of the lemmings. When his grandfather embarrasses him in front of the sea lions, Norm chases a boy named Pedro who then discovers Norm. But just before Pedro and Norm could get together, Norm is tranquilized and taken away from the Arctic leaving Pedro saddened about what happened and the Lemmings are also taken as well much to the horror of his grandfather.
The next morning, they wake up in New York City. Norm freaks out by this, but discovers Vera who has come to New York City as well. The Lemmings discover a filming Studio and they go in. However a man wearing some white glasses tries to attack Norm by struggling and strangling him in ropes. Norm manages to regain his strength and takes off the white glasses and is shocked by discovering that the disguise was Pedro. After hearing that Pedro works at the filming Studio, the two become friends and Norm apologizes for chasing him.
In the city, Norm pretends to be an actor and auditions for Pedro's commercial and is taken to dinner by Vera. The two celebrate and are succeeded by all of the hosts. During a public incident in the restaurant, Norm subdues Pedro gaining the attention of the media and heightening for approval ratings. Pedro decides to hire Norm as his mascot.
Before going on a television show, Norm meets Vera's daughter Olympia, who tells Norm to raise Greene's approval ratings and then speak out against him to save the Arctic. Norm's popularity heightens the approval ratings, but Pedro struggles to make a commercial Norm dreams of by playing recorded dialogue stating that Norm supports Greene's developments.
While filming about Norm's entire life, the lemmings go wild during the show breaking the camera and knocking out the camera woman. Pedro is fired from his job and is locked out before he could eventually apologize. Norm then has an argument with his grandfather about disobeying him and runs away. He then goes hungry and tries to get chili dogs, but is chased by the chilidog man. Meanwhile his grandfather is heartbroken and decides to go apologize to Norm, but he is captured by the animal control thinking he is a beast. Norm notices this and tries to rescue him, but fails.
Defeated, Norm is comforted by Vera and Olympia, who reveals that Greene is developing more homes to install in the Arctic. Norm and the lemmings discover that Greene is bribing a high-ranking member of the Polar Council, and exposes this to Pablo, one of Greene's investors. Vera resigns her position and is hired by Pablo, while Norm and the lemmings chase the truck holding the houses.
The animal control sends the truck carrying Norm's grandfather, and Norm is captured as well. After being freed by the lemmings, Norm and his grandfather get to the boat carrying the houses to the Arctic, and they are able to detach the houses. The Lemmings and Pedro distract the animal control by pretending that another animal is on the loose. Just as they are about to succeed however, Norm is separated from Pedro and his grandfather.
Norm awakens in the Arctic and is reunited with the lemmings and the other animals. Because of his heroism, Norm is crowned the King of the Arctic, but not before his grandfather and Pedro arrives. Meanwhile, the filming Studio is rebuilt and Pedro is rehired and Vera and Olympia are happy with Pablo as their new boss, while Norm and Elizabeth are allowed in the city and have three children together.
",upload.wikimedia.org/wikipedia/en/4/41/Norm_of_the_North_poster.jpg,2016,https://en.wikipedia.org//wiki/Norm_of_the_North
6,The Benefactor (2015 film),,upload.wikimedia.org/wikipedia/en/thumb/f/f2/Benefactor_poster.jpg/220px-Benefactor_poster.jpg,2016,https://en.wikipedia.org//wiki/The_Benefactor_(2015_film)
7,Dirty Grandpa,"Jason Kelly is a corporate lawyer in Atlanta who works for his father's law firm. When Jason's grandmother dies, his U.S. Army veteran grandfather, Lt. Colonel Richard ""Dick"" Kelly, asks him to drive him to Boca Raton, Florida, due to his driver’s license being suspended. Jason is marrying his controlling fiancée Meredith in one week, but despite his apprehension agrees to take his grandfather.
At a roadside diner they meet Jason's old photography classmate, Shadia, along with her friends Lenore and Bradley. After learning that Lenore wants to have sex with a college professor, Dick tells them that he is a university professor and that Jason is a photographer for Time. They initially go their separate ways, but Dick convinces Jason that they should meet the girls at Daytona Beach as Dick wants to have sex with Lenore. The two go to a golf course, where Dick flirts with two women much to Jason's annoyance.
At Daytona, they meet up with the girls and their friends, Cody and Brah, with whom they compete in beer chugging. Dick secretly slips Xanax into Jason's beer. That night, a drunk Jason, wearing nothing but a hornet fanny pack, parties and accidentally smokes crack cocaine from drug dealer Pam. He steals a motorcycle and wakes up the next day on the beach.
During an awkward FaceTime session with Meredith and his family, a toddler grabs the fanny pack and takes it off; the boy's father calls the police who promptly arrest Jason. Dick bails him out, and Jason attempts to leave Dick with his old Army friend Stinky in a nursing home. But they learn he is dying, Dick persuades Jason to stay in Daytona until he is able to sleep with Lenore.
They enter into a muscle flexing contest with Cody and Brah; but Jason quits out of fear of being photographed. Dick alters a T-shirt cannon to fire a beer at Cody and Brah, hospitalizing them. After Dick reveals to Jason that he was a Green Beret, they go to a nightclub with the girls. Dick gets into a fight with some men after they bully Bradley for his homosexuality. The next day, Jason bonds with Shadia and she tells him that she is going to live on a ship for a year.
That night, the group does karaoke with the men from the night before. After singing a duet, Jason realizes he has feelings for Shadia and plans on telling her the truth, but before he can, Cody does an online search using information he saw on Dick's (still valid) driver's license, and tells Shadia that Jason is already engaged.
Jason then gets caught with drugs which were planted by Cody and Brah, and is thrown into jail again. The next day, Dick bails him out and tells Jason that his real reason for the trip was to convince Jason not to go through with the wedding. A disgusted and furious Jason leaves Dick and drives back home.
During his wedding rehearsal, Dick hacks into the computer system, revealing embarrassing photos of Jason. Jason says that he cannot marry Meredith, who reveals that she had an affair with his cousin, though Jason does not hear this information due to poor acoustics; his cousin instead quickly telling him that Meredith has told him to do what he wants to do.
Jason, Dick, and Pam, with David (Dick's son and Jason's father), use Pam's ice cream truck to catch up with the bus that Shadia is on as she is leaving. Jason and Shadia kiss, and he gets on the bus with her, while David and Dick, previously estranged, reconnect. Dick goes to his house in Boca Raton and finds Lenore there waiting for him, and they have sex. Dick and Lenore get married and have a baby boy named Richard Jr., and Jason and Shadia are named the godparents.
",upload.wikimedia.org/wikipedia/en/thumb/6/62/Dirty_Grandpa_teaser_poster.jpg/220px-Dirty_Grandpa_teaser_poster.jpg,2016,https://en.wikipedia.org//wiki/Dirty_Grandpa
8,The 5th Wave (film),"Ohio high-schooler Cassie Sullivan, armed with an M4 carbine, emerges from the woods to raid an abandoned gas station. Upon entering, she hears a voice calling for help. She finds a wounded man, he points a gun at her, then each of the two asks the other to put one's own weapon down. When he pulls his other hand out from under his jacket, she mistakes the metallic glint of a Christian cross for that of a gun, so she kills him: the screen then cuts to black, and her backstory begins.
A colossal alien spaceship is circling Earth, guided by extraterrestrial life referred to as ""The Others"". Ten days later, The Others unleash their 1st Wave, an electromagnetic pulse that disables all electrical power and communications worldwide, and shuts off the engines of moving vehicles, including planes in mid-flight. The 2nd Wave has The Others manipulate the planet's geology and fault lines, causing earthquakes and megatsunamis that destroy coastal cities and islands, including Hallandale Beach, London, Bangkok and New York City. In Ohio, Lake Erie floods, but Cassie and her younger brother Sam are able to escape by climbing a tree. For the 3rd Wave, The Others modify a strain of avian influenza and spread it across the planet via birds. The population is decimated, with Cassie's mother one of the victims. In the 4th wave, The Others possess common humans and start killing other humans.
Cassie, Sam and their father find a summer camp in use as a refuge in the woods with roughly 300 survivors. A few days later, an Army unit with working vehicles rolls into the camp. The unit's commander, Colonel Vosch, claims there is an imminent threat of a 5th Wave and they will take the children to safety at Wright-Patterson Air Force Base, intending to bring the buses back to retrieve the adults. Cassie is separated from Sam, and witnesses the Army massacring all the adults, her father included. Cassie makes her way toward the base, but is shot in the leg by a sniper and passes out. About a week later, she wakes up in the farmhouse of a young man named Evan Walker, who saved her. Cassie leaves towards the base with Evan, but learns that he is an Other, sent years ago as a sleeper agent and merged his consciousness into a human host. The sleepers roam their designated zones, killing human survivors. Evan admits his humanity was reactivated when he saw her, disagrees with the invasion and lets her leave. He warns that Colonel Vosch and the military are possessed by the consciousness of individual Others.
At the base, the military have used deception and technology to convince the rescued children that the humans outside the base have been possessed. They provide military training to the children, forming them into squads to go on kill missions outside the base. Sam has been placed into a squad led by Ben, a boy Cassie had a crush on, along with Ringer, a tough teenage girl, Dumbo, who survived the 2nd wave, and Teacup. While out on a kill mission, Ringer removes her military implant, causing her to register as an Other-possessed human on the squad's scopes. The squad deduces the plan to have them kill real unpossessed humans, making them the 5th Wave. Ben sends his squad into the woods and returns to base, claiming his squad was killed, for the purpose of retrieving Sam, who was left behind. Ben confronts Colonel Vosch about child warriors being the 5th Wave and Cassie kills Sergeant Reznik during her one-on-one indoctrination spiel. Ben and Cassie find each other and leave to find Sam. Evan sets off numerous bombs and advises them to quickly find Sam before the destruction of the entire facility. Colonel Vosch and the surviving military Others evacuate with the human children by military aircraft. Cassie, Ben and Sam escape, with help from Ringer, just as Evan completes the destruction of the base. Ben's squad is reunited, and Cassie ponders the strength of hope as humanity's driving force for survival.
",upload.wikimedia.org/wikipedia/en/5/55/5th-Wave_poster.jpg,2016,https://en.wikipedia.org//wiki/The_5th_Wave_(film)
9,The Boy (2016 film),"Greta Evans, an American from Montana, travels to the United Kingdom after being hired as a nanny by the elderly Heelshires. Upon her arrival, the couple introduce Greta to her charge: a lifesize porcelain doll named Brahms that they treat like their son. The Heelshires coach Greta on taking care of Brahms and their house while they are on holiday; leaving her a list of strict rules to follow, including reading to Brahms in a loud, clear voice and playing loud music for him.
Initially, Greta ignores the rules. She regularly calls her sister, who tells her that Greta’s abusive ex-boyfriend Cole has been trying to find out where she is. Malcolm, the local deliveryman, stops by often, and Greta learns that the real Brahms was killed in a fire 20 years ago on his eighth birthday. Malcolm asks Greta out, and she accepts. While preparing for the date, her dress and jewelry vanish while she is in the shower; she is lured to the attic by strange noises and locked inside, and is mysteriously let out the next morning. In the attic, she finds photographs of young Brahms and in each of them he looks sullen and never smiles. She explains to Malcolm what happened, and they discuss the real Brahms, whom Malcolm says Mr. Heelshire described as ""odd"".
Strange events occur: a child's sobs are heard in the hallways, phone calls are cut off, and the doll seems to move on its own. After receiving a phone call in which a child's voice urges her to follow the rules, Greta locks herself in her room. She then finds a peanut butter and jelly sandwich outside her door, her favorite, and the child's voice promises he will be good. Believing that Brahms' spirit lives within the doll, Greta begins to take the rules seriously.
Remembering that the Heelshires said Brahms was shy, she realizes that the doll only moves when she isn't in the room with him; she demonstrates this to Malcolm, who becomes worried. He informs Greta that a girl Brahms was friends with was found in the forest with her skull crushed. Before the police could question Brahms, the Heelshires' house was burnt down with him in it. Malcolm warns her not to stay, but Greta, having previously suffered a miscarriage after being beaten by Cole, feels obligated to care for Brahms. Elsewhere, the Heelshires write a goodbye letter to Brahms before drowning themselves.
One evening, Cole arrives, intending to force Greta back home. For Greta's safety, Malcolm stays nearby. Greta asks the doll for help. Cole wakes up and sees a message written in blood telling him to leave. Believing it was done by either Greta or Malcolm, he angrily smashes the doll to pieces. The house begins to shake and they hear noises behind the walls. The mirror explodes; from a hole behind it emerges the real, now-adult Brahms wearing a porcelain mask identical to the doll's face; after surviving the fire, Brahms has been living in the walls of the house. Brahms kills Cole, then turns on Malcolm and Greta.
As they are pursued, Greta and Malcolm discover Brahms' room; a doll made from Greta's missing dress, hair, and jewelry sits in Brahms' bed, and Greta finds the goodbye letter from the Heelshires, revealing their plan of leaving Greta behind as a mate for Brahms. Brahms knocks out Malcolm, threatening to kill him if Greta leaves. Greta is able to escape the house but returns to save Malcolm. Arming herself with a screwdriver, she invokes the rules and forces Brahms to bed. He asks for a good night kiss; when he tries to kiss her, she stabs him. Brahms tries to choke her but she pushes the weapon in deeper and he collapses. Greta rescues Malcolm and they escape the house.
Later, someone is seen repairing the doll on the stairs.
",upload.wikimedia.org/wikipedia/en/thumb/5/5a/TheBoy_2016-OfficialPoster.jpg/220px-TheBoy_2016-OfficialPoster.jpg,2016,https://en.wikipedia.org//wiki/The_Boy_(2016_film)
