,Movie Title,Plot Summary,Cover Image,Year,Source
0,Underworld: Blood Wars,"The remaining vampire covens are on the verge of annihilation by the Lycans. Both species are searching for Selene: the vampires seek justice for the death of Viktor, while the Lycans, led by Marius, intend to use her to locate Eve, whose blood holds the key to building an army of vampire-werewolf hybrids.
Semira, a council member of the Eastern Coven, asks Thomas to plead Selene's case before the council. The plea is successful and the council reluctantly agrees to a pardon in exchange for Selene's help. Selene arrives with David and starts training the coven's neophyte Death Dealers for the upcoming war. Semira and Varga, her ally and lover, later poison Selene, slaughter the trainees and frame her for the atrocity. With Selene in her custody, Semira begins draining her blood, intending to drink it to steal her power. Thomas and David attempt a rescue and manage to save Selene. Unfortunately, Thomas dies in the process.
David and Selene take refuge at the Nordic Coven, pursued by Alexia, an Eastern Coven vampire dispatched by Semira. At Var Dohr, the Nordic Coven stronghold, Elder Vidar reveals that David is the son of Grand Elder Amelia. She and Thomas were in love but were forced to hide their relationship and David's true origins due to Victor's extreme jealousy and possesiveness over Amelia. This makes David the legitimate heir to the Eastern Coven.
Meanwhile, Alexia tells Marius, her secret lover, that Selene is going to the Nordic Coven. Marius and his Lycans attack Var Dohr to get her. Selene and David fight alongside the Nordic vampires, who are led by Vidar's daughter Lena. During the fight, Alexia stabs Selene. Marius demands to know Eve's location, but finds out Selene does not know, so he sounds the retreat. Selene deliberately drowns under the broken ice of the lake, telling herself that 'my time is done'.
At the Eastern Coven, Semira drinks the blood taken from Selene. Alexia returns and informs her of the attack at the Nordic Coven. Semira kills Alexia, telling her that she knew of her secret alliance with Marius. David returns to the Eastern Coven, presents himself as its rightful heir and denounces Semira. Even Varga deserts her, saying his loyalty is to the rightful leader. She is led off to be imprisoned in her room.
The coven comes under attack by Marius and his forces. The Lycans blow holes in the castle's walls, letting in sunlight and killing some vampires. David continues fighting, even using himself to shield several young fighters, to the shock and admiration of Varga. He however finds himself face to face with Marius. Selene suddenly reappears, now Nordic in appearance and wearing a coat over her Death Dealer uniform. It turns out that she was resurrected by the Nordic Coven and now has new powers, including enhanced speed. She swiftly dispatches the Lycans, as the Nordic Coven joins the fight.
As Selene makes her way through the castle, Semira escapes from her room and kills the guards. Selene and David find Marius, but David is waylaid by Semira. During the fight, a drop of Marius' blood lands on Selene's lips and she is suddenly flooded by his memories. She sees Marius capturing Michael Corvin and slitting his throat to collect his blood and consume it. To counter her despair over Michael's death, she bites her own wrist, accessing her own blood memories of time spent with him. Selene then rips out Marius' spine, killing him instantly. Meanwhile, David manages to kill Semira. He shows Marius' severed head to the Lycans and calls on them to collect their wounded and retreat.
In the aftermath, Selene, David, and Lena are chosen as new Elders. It is revealed that after her resurrection at the Nordic Coven, Selene was reunited with Eve, who had been following her mother through their telepathic link, as she had anticipated.
",upload.wikimedia.org/wikipedia/en/thumb/e/e2/Underworld_Blood_Wars.jpg/220px-Underworld_Blood_Wars.jpg,2017,https://en.wikipedia.org//wiki/Underworld:_Blood_Wars
1,Arsenal (2017 film),"Mikey and his younger brother JP grow up in their teens on the streets with crime, baseball and brothers looking out for one another. Mikey protects JP when he walks in on his Uncle Rich who's committed suicide with a shotgun.  
Mikey witnesses Eddie torture and kill somebody who crossed him in the back of the Video Arcade. Later, Mikey gives his lawn mowing job to JP.
Twenty-three years later as adults, Mikey is getting out of jail and JP is running a successful construction company.
Sal, a detective friend of JP's warns him about Mikey getting into drugs.
The families celebrate a 4 July picnic with Mikey, his wife Vicki and daughter Alexis being the dysfunctional family and JP and his family being the normal American clan.  JP loaned Mikey $10,000 for braces for his daughter but Mikey bought drugs to flip for a quick profit.  The drugs have been jacked with Rusty being the prime suspect.  Mikey ends up losing the drugs and his money.
Sleezeball mobster Eddie King meets up with Mikey in the club, and decide to stage a kidnapping of Mikey, and Eddie contacts his brother JP demanding $350,000 ransom to free his brother.  Mikey is beat up and the pictures are sent to JP.
JP and Sal, who uses his street knowledge, go looking for leads to free Mikey.  They track down Rusty who admits to stealing the drugs. JP refuses to pay initially.
Eddie's brother shows up and demands Eddie to stop his silly kidnap scheme.  Eddie spent 3 years in jail for his brother Buddy and he does not appreciate the interference.  Eddie ruthlessly and brutally kills his brother Buddy.
Mikey says he's not going to play along with Eddie's scheme any more, Eddie decides to kidnap him for real, and gets his henchmen to beat him up in the car park.  Mikey wakes up tied to a chair in the back of the Arcade where he witnessed that incident all those years ago.
Eddie lets JP know that he killed his own brother so that his threat to kill Mikey is real. Mikey tries to escape and is beaten up yet again. Eddies henchmen kidnap Mikey's daughter Alexis to ensure that exchange goes ahead. JP agrees to meet up with Eddie and pay $200,000.  Mikey goes to the Arcade to rescue his brother, and then, with his brother safe, goes to the meeting with Eddie, but at the money exchange the money bag explodes.
Eddie and his henchmen are killed after a bloody long shootout.
Once again the Lindel family enjoys another picnic together.
",upload.wikimedia.org/wikipedia/en/3/35/Arsenal_poster.jpg,2017,https://en.wikipedia.org//wiki/Arsenal_(2017_film)
2,Between Us (2016 film),"A couple for over six years, Dianne and Henry live together in a small apartment. At lunch with family, they receive a lot of pressure to progress in their relationship.
The couple goes to look at new apartments to buy, but Henry is clearly resistant. Their relationship has become routine and faintly boring. Dianne says she doesn't need to further their commitment, yet is more open to the idea, even eyeing engagement rings.
At a screening of a film he's been working on, Henry meets Veronica. She likes the film  but says it needs music, so suggests he come see her band doing a gig.
Dianne organizes big events, and meets Robert through work. Her company is doing a publicity event for his website. Going with him in his car to Long Beach, he makes a pass at her. Although she explains she's in a steady relationship, he kisses her.
Dianne and Henry spontaneously get married at city hall, not even having wedding bands. They ask their limo driver to take them somewhere for drinks. Soon their giddyness changes, and Dianne starts crying. Leaving in the limo, they decide to go home.
Not long after the couple argues over the kiss. Henry storms off, and Dianne stays behind, drinking. Shortly thereafter she calls Robert, who comes for her in the car they had taken previously, driven by Nadia, who's clearly with him.
Meanwhile, Henry finds Veronica at a gig, and they party wild through to the morning in a group. She tries to get a few to have an orgy with her and Henry, but they get no takers.
Dianne has met Liam, a performer from an alternative theatrical piece she watches with Robert and Nadia. They spend all night talking and drinking. By morning, they go to hers for a drink and have sex. Dianne makes it clear it was a one off and isn't interested in more, disappointing him as he's going through a divorce.
Henry has gone to Veronica's but it's not clear if they've had sex or not. He leaves her, splayed out naked and face down on her bed. Henry heads home, arriving before Liam has left. Enraged, he tries to fight him, but Liam is much stronger and pins him to the floor. Liam untruthfully says Dianna told him their relationship was over.
Once they are alone, Henry goes to the bedroom supposedly to get things. When he comes out, they have a slap match and she starts to cry. He subdues her with an embrace. At first she declares she hates him, and he responds me too several times over, the struggle becomes a mutual embrace. They sway together, dancing.
",upload.wikimedia.org/wikipedia/en/thumb/0/08/Between_Us_poster.jpg/220px-Between_Us_poster.jpg,2017,https://en.wikipedia.org//wiki/Between_Us_(2016_film)
3,Monster Trucks (film),"Terravex Oil is in the midst of a fracking operation in North Dakota, overseen by CEO Reece Tenneson and geologist Jim Dowd. The operation releases three subterranean creatures from an underground water system and destroys the drilling rig. Two are captured by Terravex, but one of them escapes. Meanwhile, high school senior Tripp Coley has taken up a job at a junkyard, where he builds a pickup truck in hopes of being able to leave his town, but the truck lacks a working drivetrain. One night, Tripp encounters the escaped creature in the junkyard and captures it, but the creature escapes before he can seek authorities.
The next day, Tripp, discovers that the creature feeds on oil, and has taken shelter in the hood of his truck. He befriends him, names him Creech, and promises to help him get home. Tripp modifies the truck to give Creech more control as a makeshift engine. The truck acts as a 'wheelchair' for Creech to operate. Meanwhile, Tenneson is still concerned about the incident at the drilling rig, since similar experiments have revealed the existence of other creatures. He decides to protect the company's image by drilling poison into a hole leading to the underwater tunnels, and by sending hired mercenary Burke to kill their captured creatures, to the objection of Dowd, as he finds the monsters have significant intelligence and emotions, as well as a hive mind intelligence that allows both of the captured specimens to learn what was taught to one.
Tripp and Meredith go see Tripp's father Wade to seek help, but Wade sells Tripp out to Burke. Tripp and Meredith escape in the truck with Creech. Tripp, Meredith and Creech are chased by Burke and his team along with Rick. They escape by jumping over a MRL local with an EMD MP15DC lead train, and camping at a hunting cabin.
When Creech gets the sense something bad will happen to the other creatures, he heads to Terravex headquarters where other creatures are being held captive. Tripp and Meredith follow Creech. When they arrive, they find Creech's parents, but are attacked by Terravex workers. Creech is captured, and Tripp and Meredith are taken to Tenneson.
Dowd decides to help Tripp and Meredith rescue the creatures. They acquire two more trucks and modify the trucks for Creech's parents to control. Dowd helps the group by stealing the Terravex truck on which Creech's parents are loaded. At the dealership, the creatures take control of the modified trucks, and the group make their escape up the mountain leading to the tunnels.
Terravex gives chase up the mountain and the group escapes. On the way, Rick helps Tripp and the group escape from Burke, preventing Burke from ramming them off the road and later stealing a large truck to block the road to prevent further pursuit. After realizing the poison has been inserted, Tripp gets into a head-on battle with Burke, who attempts to push him into the drilling hole, but ends when Tripp and Creech overturn Burke's truck, destroying the poison machine and presumably killing Burke when his truck is thrown into the equipment. Creech saves Tripp from drowning before he and his parents depart back home where the others of their kind are, and Terravex is exposed by the group for the experimentation that was harming the creatures' habitat. Tenneson is arrested for his crimes, Tripp and Rick develop on good terms and together rebuild a V8 engine for the truck, and Tripp and Meredith begin a relationship.
",upload.wikimedia.org/wikipedia/en/thumb/1/1f/Monster_Trucks_poster.jpg/220px-Monster_Trucks_poster.jpg,2017,https://en.wikipedia.org//wiki/Monster_Trucks_(film)
4,The Bye Bye Man,"In 1969, a mass murder occurs in Madison, Wisconsin, during which a man kills people on his block. As he shoots the neighbors, he continuously asks if anyone spoke about ""the name"" that cannot be said. He repeats over and over: ""Don't say it, don't think it; don't think it, don't say it"".
In the present day, Elliot, his girlfriend Sasha, and friend John move into a house not far from their college. Soon, strange things begin to happen, such as Sasha developing an unusual cough and Elliot finding coins in a nightstand that continually reappear. Elliot also finds writing consisting of ""don't think it, don't say it"", and a name - the Bye Bye Man. During a séance involving their friend Kim, the name is mentioned.
Sasha continues to become sick as Elliot and John start experiencing hallucinations. Elliot also begins to suspect that Sasha is cheating on him with John, as Elliot's brother Virgil had said at the party before the Bye Bye Man was released. A librarian shows Elliot a dossier about the Bye Bye Man. A teenager killed his family and told a reporter that the Bye Bye Man made him do it. The same reporter later became a mass shooter in 1969 after realizing that other people knew about the Bye Bye Man. Kim is killed when she is struck by a train. Elliot is taken in for questioning by Detective Shaw, and is released when Kim's suicide note reveals that she killed her roommate and was planning on killing Elliot, Sasha, and John.
Elliot also visits the reporter's widow, who reveals that the curse causes insanity, hallucinations, and eventually, death. Signs of his coming are coins mysteriously appearing, sounds of a train, and a large, skinless hound. The only way to prevent it is to not think of his name or speak of him. If someone already knows, they must be killed. The librarian is accidentally hit by Elliot's car after she killed everyone in her home, coming for Elliot next.
Sasha and John are also suffering from hallucinations. Elliot finds John stabbing Sasha. He shoots John, but after he picks up the corpse, Sasha  is revealed to have been stabbing John. The Bye Bye Man appears and Elliot hallucinates. Elliot keeps Virgil and his daughter Alice away long enough for him to kill himself with a gun. Virgil and Alice get away before the entire house goes up in flames.
While riding home, Alice reveals she found the coins from the nightstand near the trash, along with the writing, but she could not read it in the dark. Detective Shaw arrives at the scene, where John is found to be alive, but wounded. John then whispers the name to Shaw, allowing the curse to spread again.
",upload.wikimedia.org/wikipedia/en/thumb/b/bd/The_Bye_Bye_Man_poster.jpg/220px-The_Bye_Bye_Man_poster.jpg,2017,https://en.wikipedia.org//wiki/The_Bye_Bye_Man
5,Sleepless (2017 film),"In Las Vegas, LVMPD policemen Vincent Downs and his partner Sean Cass rob a shipment of cocaine belonging to entrepreneur Stanley Rubino, who intended to sell it to mobster Rob Novak, the son of a powerful mob boss. The two cops volunteer to investigate the robbery in order to cover up their involvement, clashing with Internal Affairs investigators Jennifer Bryant and her superior Doug Dennison, who are suspicious of the pair. Vincent is estranged from his wife Dena, who is getting remarried, and has minimal involvement in the life of his 16-year-old son T.
While driving T to a soccer game, Vincent is ambushed by Rubino's men, who stab him in the abdomen and kidnap his son - demanding the stolen cocaine back in exchange for T's life. Vincent retrieves the cocaine from Cass, places it in a duffel bag, and leaves it in the ventilation shaft of one of the bathrooms in Rubino's casino, hoping he can negotiate his son's release before handing over his leverage. He is unknowingly followed by Bryant, who, now convinced he is a dirty cop, retrieves the bag and hides it in the women's locker room nearby.
Without the drugs, Vincent is forced to present Rubino with bags of sugar to ensure T's safety, but Novak uncovers his ruse, and T is recaptured by Rubino's men, while Vincent manages to escape. Meanwhile, after coming up empty while searching the casino for Vincent, Dennison is convinced he's gotten away and directs Bryant to go home and get some sleep. Bryant gives him the key to the women's locker with the cocaine and heads for the exit.
Vincent enters the casino as a janitor, but crosses paths with Bryant on her way out and is chased into one of the hotel rooms. They fight, and he subdues her before revealing he's been undercover on behalf of Internal Affairs for the last two years to dismantle the crime ring within the police department. He knows Cass is a drug-runner, knew details about a previous investigation by Bryant, and is now attempting to find the senior member of law enforcement that is covering everything up. A skeptical Bryant directs him to the locker room to retrieve the cocaine, but the drugs have recently been removed by Dennison. Dennison ambushes Vincent but is ultimately overpowered and knocked unconscious. Meanwhile, T escapes and steals Rubino's cellphone to contact Vincent, but is quietly being followed by Rubino and his men who allow it all to happen in an attempt to lure Vincent into a trap. Elsewhere, Dena finds out Vincent and T are in danger and heads to the casino.
Cass arrives and confronts Vincent about his Internal Affairs involvement, but then saves Vincent from one of Novak's men. He is shot in the process and presumed dead. Vincent infiltrates the casino in a police uniform that Cass brought and finds out Dennison is the mole in the force upon going through Cass's phone; Dennison is on Novak's payroll and ordered Cass to kill Vincent after informing him that he was Internal Affairs. Bryant and Dennison later find a severely injured Cass in the garage. While Bryant checks the vitals of Novak's man, Dennison privately questions Cass on whether Vincent is aware of his involvement and finishes him off when Cass refuses to answer. Vincent and T reunite just as Novak begins shooting up the casino and escape to the parking garage. In the ensuing shootout, Bryant arrests Rubino.
Vincent and T attempt to escape in a stolen car, but are ambushed by Novak and his men, leading to a violent shootout. Dena arrives and kills Novak's remaining henchman to save Vincent and T before Novak corners them. He shoots Vincent in the chest, but Vincent survives and fatally shoots Novak. Vincent then contacts Bryant and alerts her of Dennison's corruption. She instantly attempts to apprehend Dennison but he shoots her. He then kills Rubino after questioning if Novak's father ever mentioned him in his criminal dealings, then shoots dead the policeman driving the cruiser they are in, in order to cause the vehicle to crash, intending to frame Rubino for the incident. However, Bryant survives and exposes Dennison, who is promptly arrested.
Vincent and Bryant are taken to the same hospital, where they make amends and congratulate each other on the job. Meanwhile, a corrupt DEA agent - seen earlier in the film - contacts Novak's father and informs him that there has been a problem, implying that he will subsequently tell him about his son's death.
",upload.wikimedia.org/wikipedia/en/thumb/1/13/Sleepless_%282017_film%29.jpg/220px-Sleepless_%282017_film%29.jpg,2017,https://en.wikipedia.org//wiki/Sleepless_(2017_film)
6,The Book of Love (2016 film),"After the accidental death of his free-spirited pregnant wife, Penny, reserved architect Henry struggles to find meaning in his life and in the work that once consumed him. As he continues to work on the house he and Penny were building together, Henry is drawn to a mysterious young runaway named Millie whom Penny had asked Henry to help. Though Millie mistrusts Henry at first, the two build a tentative friendship as she reveals her ambition to build a raft to go find her father who was lost at sea. Taking on the father role he was meant to have, Henry neglects his job and other responsibilities to help Millie on her quest. As they work together, he comes to understand that she can help him to heal as much as he can help her. As Millie prepares to leave, Henry is briefly angered when he discovers that Millie possesses the first photograph Penny ever took of the two of them and the news article about her death, but this anger is forgotten when Millie is struck in the head by her sail and nearly drowns. Learning that Millie simply saw Penny's accident, Henry expresses gratitude that someone else was with his wife when she died. In the end, Henry joins Millie as they set sail together across the Atlantic.
",upload.wikimedia.org/wikipedia/en/f/f0/The_Book_of_Love_2016_film_poster.jpg,2017,https://en.wikipedia.org//wiki/The_Book_of_Love_(2016_film)
7,Split (2016 American film),"Kevin Wendell Crumb, a man struggling with dissociative identity disorder (DID) rooted in his history of childhood abuse and abandonment, has been managing living with his 23 distinct identities (""alters"") well for several years with help from his therapist, Dr. Karen Fletcher. The most dominant of the desirable alters, ""Barry"", has been in control of deciding which personalities get to control Kevin's body, and lately he has not allowed ""Dennis"" or ""Patricia"" to have a turn due to the former's tendency to harass young girls and the latter's belief in a mysterious entity called ""The Beast"" who plans to rid the world of the ""impure"", that is, those who have not suffered. Dr. Fletcher is concerned when she realizes that ""Dennis"" has been impersonating ""Barry"" during their sessions after questioning him about an incident wherein Dennis had been left disturbed when two teenage girls had placed his hands on their breasts while drunk.
Just outside Philadelphia, Dennis kidnaps three girls — Claire, Casey and Marcia — when they are waiting in the car of Claire's father to get driven home from a birthday party. He imprisons the girls in a secret underground lair beneath the Philadelphia Zoo, where they meet Patricia, who protects the girls from Dennis to save them for ""The Beast"", and a 9-year-old boy alter named ""Hedwig"", revealed to be the true dominant alter, whom Patricia and Dennis are manipulating to shut out the other alters. The girls try to escape by going through the vents, manipulating Kevin's alters, and communicating with another individual via a walkie-talkie, but all of their attempts end in failure.
Dr. Fletcher goes to the zoo to talk to Dennis when he claims to have made contact with ""The Beast"", in reality a yet-to-manifest 24th personality, but she discovers Claire, so Dennis incapacitates the doctor and locks her up. Then he goes to the train station and boards an empty train car, where ""The Beast"" takes over. ""The Beast"", who displays enhanced strength and animalistic tendencies, returns to his lair, thanks Dr. Fletcher for her help, and crushes her to death. He savagely feeds upon and kills Claire and Marcia before approaching Casey, but she calls out Kevin's full name, which brings forth his original personality. Upon learning of the situation and realizing that he has not been in control of his own body for two years, the horrified Kevin begs Casey to kill him with a shotgun he has hidden. This prompts all 24 personalities to fight for control, with Patricia the victor. She tells Casey that ""Kevin"" has been made to sleep far away and will not awaken now even if his name is called.
While Patricia returns control to ""The Beast"", Casey retrieves the shotgun and a box of cartridges and escapes into a tunnel. She manages to shoot ""The Beast"" twice before running out of ammo, but he only sustains minor wounds. He moves closer to murder her, but stops when he sees scars across her abdomen and chest, which are related to her having been abused by her uncle and legal guardian, John, both before and after her father's death. Because she is ""pure,"" ""The Beast"" spares Casey's life, and she is rescued the next morning by the police.
In another hideout, Dennis, Patricia, and Hedwig discuss the power of ""The Beast"" and their plans to change the world. At the Silk City Diner, several patrons watch a news report on ""The Beast's"" crimes, with the correspondent mentioning that his numerous alters have earned him the nickname ""The Horde"". A waitress notes the similarity to a criminal in a wheelchair who was incarcerated fifteen years earlier, who was also given a nickname. As she tries to remember it, David Dunn, sitting next to her replies that it was ""Mr. Glass"".
",upload.wikimedia.org/wikipedia/en/3/31/Split_%282017_film%29.jpg,2017,https://en.wikipedia.org//wiki/Split_(2016_American_film)
8,XXX: Return of Xander Cage,"NSA Agent Augustus Gibbons attempts to recruit footballer Neymar for the Triple-X (XXX) program when a satellite crashes, apparently killing them both. Shortly afterwards, a team of four skilled individuals led by Xiang infiltrate a highly guarded CIA office in New York City and retrieve ""Pandora's Box"", a device which is capable of controlling satellites to crash at specific locations as warheads.
CIA Agent Jane Marke tracks down former xXx operative Xander Cage, who faked his death[a], and has been living in self-imposed exile in the Dominican Republic. She convinces him to return to active service to retrieve the device.
In London, after enlisting his old friend Ainsley for help, Xander tracks down the attackers to the Philippines. At an RAF outpost in Lakenheath, a unit of Special Forces operatives led by Paul Donovan is assigned to help Xander, but he rejects them in favor of his own team, composed of sharpshooter Adele Wolff, DJ Harvard ""Nicks"" Zhou, and getaway driver Tennyson ""The Torch"". They are also aided by introverted weapons specialist Becky Clearidge.
The team locates Xiang and his teammates Serena, Talon and Hawk, and Xander meets Xiang in an underground nightclub on a remote island, where Xiang reveals that his team are also xXx agents, recruited by Gibbons. He claims to have stolen Pandora's Box to prevent its misuse, although Serena believes they should destroy it. Shortly after, Russian soldiers raid the island. The group fends off the attackers, while Xiang escapes with Pandora's Box. Xander intercepts him chasing him to a nearby beach. Serena betrays him, destroys the Box, and joins Xander's team, while Xiang escapes and regroups with Talon and Hawk.
After another satellite crash in the Olympic Stadium in Moscow, Marke determines that the device that Serena destroyed was only a prototype and that both teams have been wasting time, while Xander discovers CIA Director Anderson is involved and has the actual Pandora's Box in his hands.
Xander's and Xiang's teams race to reach Anderson first in Detroit, tracking Pandora's Box's unique signal, with Xander and Xiang fighting and later protecting each other from Anderson's men. Xander confronts Anderson, who admits to causing the satellite crash that killed Gibbons before Wolff shoots him dead. Xander reluctantly allows the CIA to arrest Xiang in an attempt to frame him for the Moscow attack, and they secure the box.
En route back to headquarters, Marke announces the XXX Program has been shut down and shoots Xander to keep it for herself. She then sends a group of assassins to eliminate the others, who are awaiting extraction at a local NSA warehouse. They join forces to fend off their attackers and receive assistance from former XXX operative, Darius Stone.
Xander survives due to a bulletproof vest Becky had given him earlier and joins forces with Xiang to fight Donovan and his men, while Marke uses the box to send a satellite plummeting towards the warehouse where the teams are fighting. Xander ejects Donovan from the plane, while Xiang sends Marke falling to her death and then parachutes out with the box in hand. Despite Becky's attempts to halt the signal, they cannot stop the satellite from crashing. In a last attempt to protect them, Xander crashes the plane into the approaching satellite before it reaches the warehouse and jumps out, using the cargo load to safely reach the ground. Xiang gives him the device, who decides to destroy it.
The team attends Gibbons' funeral, where Xander is approached by Gibbons himself, who faked his death and is now rebuilding the XXX Program on his own, starting with Neymar, who also faked his death, as the newest recruit. Gibbons compliments Xander on a job well done, so he decides to continue in service, while also being introduced to Darius Stone, who previously served as a XXX agent in Cage's absence.
",upload.wikimedia.org/wikipedia/en/thumb/9/9c/Xxx_return_of_xander_cage_film_poster.jpeg/220px-Xxx_return_of_xander_cage_film_poster.jpeg,2017,https://en.wikipedia.org//wiki/XXX:_Return_of_Xander_Cage
9,The Resurrection of Gavin Stone,"Former child star Gavin Stone is now a washed-up, partied-out man. When he is forced to return home, he pretends to be a Christian so he can portray Jesus in an Easter play being produced by a megachurch.[3]
",upload.wikimedia.org/wikipedia/en/thumb/f/ff/The_Resurrection_of_Gavin_Stone_film_poster.jpg/220px-The_Resurrection_of_Gavin_Stone_film_poster.jpg,2017,https://en.wikipedia.org//wiki/The_Resurrection_of_Gavin_Stone
